成交日期,股票代码,股票名称,营业部名称,买入金额,卖出金额,上榜原因,涨跌幅,收盘价
2024-06-18,600519,贵州茅台,兴业证券陕西分公司,65000000,12000000,日涨幅偏离值达7%,9.50,1700.00
2024-06-18,600519,贵州茅台,华鑫证券上海宛平南路证券营业部,58000000,9000000,日涨幅偏离值达7%,9.50,1700.00
2024-06-18,600519,贵州茅台,东方财富证券拉萨团结路第一营业部,8000000,7000000,日涨幅偏离值达7%,9.50,1700.00
2024-06-18,300750,宁德时代,中信证券上海溧阳路证券营业部,40000000,5000000,日换手率达20%,7.20,185.30
2024-06-18,300750,宁德时代,华鑫证券上海宛平南路证券营业部,35000000,4000000,日换手率达20%,7.20,185.30
2024-06-18,300750,宁德时代,东方财富证券拉萨金融城南环路营业部,6000000,5500000,日换手率达20%,7.20,185.30
2024-06-18,002594,比亚迪,国盛证券宁波桑田路证券营业部,30000000,6000000,连续三个交易日涨幅偏离20%,5.10,245.80
2024-06-18,002594,比亚迪,国泰君安证券成都北一环路证券营业部,22000000,3000000,连续三个交易日涨幅偏离20%,5.10,245.80
2024-06-17,600519,贵州茅台,兴业证券陕西分公司,61000000,10500000,日涨幅偏离值达7%,8.10,1650.00
2024-06-17,600519,贵州茅台,华鑫证券上海宛平南路证券营业部,55000000,8200000,日涨幅偏离值达7%,8.10,1650.00
2024-06-17,300750,宁德时代,中信证券上海溧阳路证券营业部,38000000,4200000,日振幅值达15%,6.30,178.90
2024-06-17,300750,宁德时代,华鑫证券上海宛平南路证券营业部,33000000,3800000,日振幅值达15%,6.30,178.90
